id,state_id,country_region_id,country_id,local_id,name,slug,population
"BR-CE-23011","BR-CE","BR-NE","BR","23011","11ª Região Sobral","11a-regiao-sobral","651498"
"BR-CE-23012","BR-CE","BR-NE","BR","23012","12ª Região Acaraú","12a-regiao-acarau","231596"
"BR-CE-23013","BR-CE","BR-NE","BR","23013","13ª Região Tianguá","13a-regiao-tiangua","320838"
"BR-CE-23014","BR-CE","BR-NE","BR","23014","14ª Região Tauá","14a-regiao-taua","115619"
"BR-CE-23015","BR-CE","BR-NE","BR","23015","15ª Região Crateús","15a-regiao-crateus","299786"
"BR-CE-23016","BR-CE","BR-NE","BR","23016","16ª Região Camocim","16a-regiao-camocim","157728"
"BR-CE-23017","BR-CE","BR-NE","BR","23017","17ª Região Icó","17a-regiao-ico","172994"
"BR-CE-23018","BR-CE","BR-NE","BR","23018","18ª Região Iguatú","18a-regiao-iguatu","323376"
"BR-CE-23019","BR-CE","BR-NE","BR","23019","19ª Região Brejo Santo","19a-regiao-brejo-santo","216206"
"BR-CE-23020","BR-CE","BR-NE","BR","23020","20ª Região Crato","20a-regiao-crato","349132"
"BR-CE-23021","BR-CE","BR-NE","BR","23021","21ª Região Juazeiro do Norte","21a-regiao-juazeiro-do-norte","429364"
"BR-CE-23022","BR-CE","BR-NE","BR","23022","22ª Região Cascavel","22a-regiao-cascavel","331390"
"BR-DF-53001","BR-DF","BR-CO","BR","53001","Distrito Federal","distrito-federal","3015268"
"BR-ES-32001","BR-ES","BR-SE","BR","32001","Central","central","661264"
"BR-ES-32002","BR-ES","BR-SE","BR","32002","Metropolitana","metropolitana","2248766"
"BR-ES-32003","BR-ES","BR-SE","BR","32003","Norte","norte","430549"
"BR-ES-32004","BR-ES","BR-SE","BR","32004","Sul","sul","678071"
"BR-GO-52001","BR-GO","BR-CO","BR","52001","Central","central","1910923"
"BR-GO-52002","BR-GO","BR-CO","BR","52002","Centro Sul","centro-sul","944218"
"BR-GO-52003","BR-GO","BR-CO","BR","52003","Entorno Norte","entorno-norte","269355"
"BR-GO-52004","BR-GO","BR-CO","BR","52004","Entorno Sul","entorno-sul","910035"
"BR-GO-52005","BR-GO","BR-CO","BR","52005","Estrada de Ferro","estrada-de-ferro","314184"
"BR-GO-52006","BR-GO","BR-CO","BR","52006","Nordeste I","nordeste-i","46464"
"BR-GO-52007","BR-GO","BR-CO","BR","52007","Nordeste II","nordeste-ii","104943"
"BR-GO-52008","BR-GO","BR-CO","BR","52008","Norte","norte","136519"
"BR-GO-52009","BR-GO","BR-CO","BR","52009","Oeste I","oeste-i","113882"
"BR-GO-52010","BR-GO","BR-CO","BR","52010","Oeste II","oeste-ii","115958"
"BR-GO-52011","BR-GO","BR-CO","BR","52011","Pirineus","pirineus","521757"
"BR-GO-52012","BR-GO","BR-CO","BR","52012","Rio Vermelho","rio-vermelho","199298"
"BR-GO-52013","BR-GO","BR-CO","BR","52013","São Patrício I","sao-patricio-i","166102"
"BR-GO-52014","BR-GO","BR-CO","BR","52014","Serra da Mesa","serra-da-mesa","129150"
"BR-GO-52015","BR-GO","BR-CO","BR","52015","Sudoeste I","sudoeste-i","466594"
"BR-GO-52016","BR-GO","BR-CO","BR","52016","Sudoeste II","sudoeste-ii","232723"
"BR-GO-52017","BR-GO","BR-CO","BR","52017","Sul","sul","253654"
"BR-GO-52018","BR-GO","BR-CO","BR","52018","São Patrício II","sao-patricio-ii","182595"
"BR-MA-21001","BR-MA","BR-NE","BR","21001","Açailândia","acailandia","297408"
"BR-MA-21002","BR-MA","BR-NE","BR","21002","Bacabal","bacabal","269769"
"BR-MA-21003","BR-MA","BR-NE","BR","21003","Balsas","balsas","226350"
"BR-MA-21004","BR-MA","BR-NE","BR","21004","Barra do Corda","barra-do-corda","233372"
"BR-MA-21005","BR-MA","BR-NE","BR","21005","Caxias","caxias","305941"
"BR-MA-21006","BR-MA","BR-NE","BR","21006","Chapadinha","chapadinha","378364"
"BR-MA-21007","BR-MA","BR-NE","BR","21007","Codó","codo","309057"
"BR-MA-21008","BR-MA","BR-NE","BR","21008","Imperatriz","imperatriz","542962"
"BR-MA-21009","BR-MA","BR-NE","BR","21009","Itapecuru Mirim","itapecuru-mirim","384775"
"BR-MA-21010","BR-MA","BR-NE","BR","21010","Pedreiras","pedreiras","218926"
"BR-MA-21011","BR-MA","BR-NE","BR","21011","Pinheiro","pinheiro","397484"
"BR-MA-21012","BR-MA","BR-NE","BR","21012","Presidente Dutra","presidente-dutra","290770"
"BR-MA-21013","BR-MA","BR-NE","BR","21013","Rosário","rosario","300897"
"BR-MA-21014","BR-MA","BR-NE","BR","21014","Santa Inês","santa-ines","394248"
"BR-MA-21015","BR-MA","BR-NE","BR","21015","São João dos Patos","sao-joao-dos-patos","246109"
"BR-MA-21016","BR-MA","BR-NE","BR","21016","São Luís","sao-luis","1454626"
"BR-MA-21017","BR-MA","BR-NE","BR","21017","Timon","timon","250006"
"BR-MA-21018","BR-MA","BR-NE","BR","21018","Viana","viana","273027"
"BR-MA-21019","BR-MA","BR-NE","BR","21019","Zé Doca","ze-doca","301090"
"BR-MG-31001","BR-MG","BR-SE","BR","31001","Alfenas / Machado","alfenas-machado","302098"
"BR-MG-31002","BR-MG","BR-SE","BR","31002","Guaxupé","guaxupe","144742"
"BR-MG-31003","BR-MG","BR-SE","BR","31003","Itajubá","itajuba","205172"
"BR-MG-31004","BR-MG","BR-SE","BR","31004","Lavras","lavras","184586"
"BR-MG-31006","BR-MG","BR-SE","BR","31006","Poços de Caldas","pocos-de-caldas","238398"
"BR-MG-31007","BR-MG","BR-SE","BR","31007","Pouso Alegre","pouso-alegre","548821"
"BR-MG-31008","BR-MG","BR-SE","BR","31008","São Lourenço","sao-lourenco","263323"
"BR-MG-31009","BR-MG","BR-SE","BR","31009","São Sebastião do Paraíso","sao-sebastiao-do-paraiso","125982"
"BR-MG-31010","BR-MG","BR-SE","BR","31010","Três Corações","tres-coracoes","133506"
"BR-MG-31011","BR-MG","BR-SE","BR","31011","Três Pontas","tres-pontas","125507"
"BR-MG-31012","BR-MG","BR-SE","BR","31012","Varginha","varginha","201309"
"BR-MG-31013","BR-MG","BR-SE","BR","31013","Barbacena","barbacena","238637"
"BR-MG-31015","BR-MG","BR-SE","BR","31015","São João Del Rei","sao-joao-del-rei","240651"
"BR-MG-31016","BR-MG","BR-SE","BR","31016","Belo Horizonte/ Nova Lima/ Caeté ","belo-horizonte-nova-lima-caete","3411258"
"BR-MG-31017","BR-MG","BR-SE","BR","31017","Betim","betim","728243"
"BR-MG-31018","BR-MG","BR-SE","BR","31018","Contagem","contagem","876811"
"BR-MG-31019","BR-MG","BR-SE","BR","31019","Curvelo","curvelo","185711"
"BR-MG-31020","BR-MG","BR-SE","BR","31020","Guanhães","guanhaes","93123"
"BR-MG-31021","BR-MG","BR-SE","BR","31021","Itabira","itabira","237098"
"BR-MG-31022","BR-MG","BR-SE","BR","31022","Ouro Preto","ouro-preto","186880"
"BR-MG-31023","BR-MG","BR-SE","BR","31023","João Monlevade","joao-monlevade","139441"
"BR-MG-31024","BR-MG","BR-SE","BR","31024","Sete Lagoas","sete-lagoas","449072"
"BR-MG-31025","BR-MG","BR-SE","BR","31025","Vespasiano","vespasiano","328997"
"BR-MG-31026","BR-MG","BR-SE","BR","31026","Diamantina","diamantina","142504"
"BR-MG-31027","BR-MG","BR-SE","BR","31027","Turmalina/Minas Novas/Capelinha","turmalinaminas-novascapelinha","124958"
"BR-MG-31028","BR-MG","BR-SE","BR","31028","Bom Despacho","bom-despacho","107489"
"BR-MG-31030","BR-MG","BR-SE","BR","31030","Formiga","formiga","122971"
"BR-MG-31031","BR-MG","BR-SE","BR","31031","Itaúna","itauna","124127"
"BR-MG-31032","BR-MG","BR-SE","BR","31032","Pará de Minas","para-de-minas","252399"
"BR-MG-31034","BR-MG","BR-SE","BR","31034","Caratinga","caratinga","203324"
"BR-MG-31035","BR-MG","BR-SE","BR","31035","Coronel Fabriciano/Timóteo","coronel-fabricianotimoteo","231628"
"BR-MG-31036","BR-MG","BR-SE","BR","31036","Governador Valadares","governador-valadares","430602"
"BR-MG-31037","BR-MG","BR-SE","BR","31037","Ipatinga","ipatinga","409191"
"BR-MG-31038","BR-MG","BR-SE","BR","31038","Mantena","mantena","70031"
"BR-MG-31040","BR-MG","BR-SE","BR","31040","Resplendor","resplendor","89267"
"BR-MG-31041","BR-MG","BR-SE","BR","31041","Além  Paraíba","alem-paraiba","57311"
"BR-MG-31042","BR-MG","BR-SE","BR","31042","Carangola","carangola","128704"
"BR-MG-31044","BR-MG","BR-SE","BR","31044","Leopoldina / Cataguases","leopoldina-cataguases","183358"
"BR-MG-31045","BR-MG","BR-SE","BR","31045","Muriaé","muriae","174538"
"BR-MG-31046","BR-MG","BR-SE","BR","31046","Santos Dumont","santos-dumont","50683"
